2022-02-27 15:13:14,976 [main] INFO  -[DefaultSecurityFilterChain.java:51]- Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@b8b2184, org.springframework.security.web.context.SecurityContextPersistenceFilter@727453a3, org.springframework.security.web.header.HeaderWriterFilter@3e39f08c, org.springframework.web.filter.CorsFilter@299a43d9, org.springframework.security.web.authentication.logout.LogoutFilter@1488a861, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@3b7b0b57, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@57f2e67, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@37986daf, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@ccd000e, org.springframework.security.web.session.SessionManagementFilter@598778cc, org.springframework.security.web.access.ExceptionTranslationFilter@26865b57, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@69a90b81]
2022-02-27 15:13:17,070 [main] INFO  -[DocumentationPluginsBootstrapper.java:160]- Context refreshed
2022-02-27 15:13:17,096 [main] INFO  -[DocumentationPluginsBootstrapper.java:163]- Found 1 custom documentation plugin(s)
2022-02-27 15:13:17,129 [main] INFO  -[ApiListingReferenceScanner.java:41]- Scanning for api listing references
2022-02-27 15:13:17,328 [main] WARN  -[ParameterDataTypeReader.java:92]- Trying to infer dataType int[]
2022-02-27 15:13:17,996 [main] INFO  -[ScheduledAnnotationBeanPostProcessor.java:309]- No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2022-02-27 15:13:18,005 [main] INFO  -[StartupInfoLogger.java:61]- Started WeeklyReportApplicationTests in 10.522 seconds (JVM running for 12.733)
2022-02-27 15:13:18,639 [SpringApplicationShutdownHook] INFO  -[DruidDataSource.java:1825]- {dataSource-1} closed
2022-02-27 15:14:39,248 [main] INFO  -[AbstractTestContextBootstrapper.java:305]- Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.liyuehong.weeklyreport.WeeklyReportApplicationTests], using SpringBootContextLoader
2022-02-27 15:14:39,255 [main] INFO  -[AbstractContextLoader.java:264]- Could not detect default resource locations for test class [com.liyuehong.weeklyreport.WeeklyReportApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
